Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-1.1130215981884906,-0.4256379168301971,-26.427484600557992,-3.7904391888414546,-0.19839425148628909,2.114999732366263,0.0
AFG,1.6507780679579698,-0.3934698735263568,-3.071830575293566,2.359763386272795,0.17114892897538425,-4.919613460914151,0.0
AGO,-5.455690750861075,0.9161670300986284,2.02579021069873,-6.842019483393836,-0.36974590042854194,-5.413014628366108,0.0
ALB,1.1569383543695189,-0.4947465214802154,-1.1395208440497018,1.4524925338191608,0.11308833402776663,-4.565848236818226,0.0
ARE,-0.32118471916178226,-5.26310246369301,-0.41602633916493215,-0.41258885363106845,-0.13084704195056585,-4.738439919874359,0.0
ARG,-0.1336178738556404,-4.089594432567383,-1.8821496242929947,-2.432956882154036,-0.03940505693523777,-3.340466102067241,0.0
ARM,0.9620656450453957,-0.5030273591455077,-0.8608634455759323,0.7181201891327316,0.06937199724994514,-5.080567234878464,0.0
ATG,-2.6891333787947502,-0.4105187507596213,-26.050033264255713,-4.344221373731305,-0.44323603944459444,4.133263863959713,0.0
AUS,-0.6704778643253806,-0.16664749520995986,-1.1970529600987434,-3.3382242442022036,-0.11064146946844211,-4.8623715106557945,0.0
AUT,-0.18599658552322929,82.72934711020616,-1.146011830960969,-0.6948422823495171,-0.06923175776194501,-4.728314373150122,0.0
AZE,-1.8491645385614208,0.4229903297052305,1.6077493255424402,-0.9253692487119269,-0.08437901610165444,-4.78549081516616,0.0
BDI,1.142944564474524,-0.47491236766472866,-1.4919405174840028,2.3518027668324226,0.12380469668753502,-4.602313738975705,0.0
BEL,-0.269073713960577,2.61155829268531,-1.4043745840092159,-0.5831895651657315,-0.21406385823780072,-4.059093367332234,0.0
BEN,1.0994363495649306,-0.4432616866568629,-4.020846977693104,1.3414650041320808,0.09037237073148408,-4.43889951711337,0.0
BFA,-1.3343368731856264,0.3888648214406735,0.800643867529871,-1.2957667973594322,-0.09884299721263368,-4.786742918089071,0.0
BGD,0.13962628465271631,7.481955364884181,-5.977220727061894,-1.7927359760050554,-0.033424987839192344,-5.54396759655954,0.0
BGR,0.18920463664979792,2.374179700651651,-0.38569471632770025,0.06924154448286757,0.0038390715777048,-4.711544640657117,0.0
BHR,-0.14594691221965217,-18.602144327218504,-0.2744834704259236,-0.5404328410044235,-0.04876714971181473,-4.331619743527426,0.0
BHS,-2.229815200815266,-0.24028805733819808,-17.643845092431263,-6.004115616787809,-0.6220393291786142,2.568816276563024,0.0
BIH,1.0468876209783096,-0.049253735202602976,-1.5219635743702775,0.666875000622702,0.061471680732827494,-4.649662547128552,0.0
BLR,0.8194691025569245,-0.3795958639960455,-2.0256201559231912,1.5501800460802073,0.07576492888554665,-5.084701403627245,0.0
BLZ,-0.7932427589986357,-0.41950016802262774,-10.7341082791927,-2.5109258807020196,-0.24413437931101178,0.4759060260319359,0.0
BMU,-0.25758232101711354,-0.43125135910660206,-19.741438774152897,-3.7607611557407328,-0.09066341715806558,-0.2576260737972347,0.0
BOL,-0.19519438637634057,-0.1649943784773331,-0.3678981947064841,-0.7430975600267509,-0.036064729604445844,-3.9520057344025528,0.0
BRA,-0.4529658333117692,-0.6522210087579302,-1.1098244197830787,-3.444219246192781,-0.07792169435004714,-3.929394707760392,0.0
BRB,-0.4809293808206938,-0.4078658234287212,-10.076270469469629,-2.549215456484033,-0.09424090684336806,0.8924679434137106,0.0
BRN,-2.0907773389383877,1.0161308109085656,0.05489487014731509,-1.4603499321662938,-0.20573285028823163,-5.013053713014459,0.0
BTN,1.5914973443737601,-0.4350393386180108,-1.777159408101392,2.0293410910569465,0.1624092643522923,-5.059140454463806,0.0
BWA,-0.21465075443046766,90.86549714927786,-2.178581787676681,-1.2244429340153795,-0.08757565535665313,-5.248015897636793,0.0
CAF,0.4041526142634755,-0.4717019498177729,-2.162993352223974,0.6019524089125872,0.02835693024738628,-4.490237294291976,0.0
CAN,-0.9961771452673407,10.500496044253419,-7.001264033322396,-6.93202254513584,-0.33018731617117103,0.811479720153141,0.0
CHE,-0.974692185027104,98.94772709565174,-4.594053546801369,-3.3437123326259477,-0.3336250370555516,-4.634940581414771,0.0
CHL,-0.7817178867323249,-2.6766125475421583,-2.7911992579540357,-4.285617789305252,-0.21139532512567394,-3.337166812365544,0.0
CHN,-1.132499420788402,5.593932082207354,-3.9357224242305033,-6.988987435432936,-0.16956571381301355,-5.926434725302865,0.0
CIV,-0.3152735331728773,5.040071143877946,-1.2903365213347562,-1.3760148700531438,-0.07154541263922898,-4.73549708591764,0.0
CMR,0.3764483680496422,-0.5158005427428164,0.6535433941528224,1.49443157989273,0.052479306940300674,-4.843427863414396,0.0
COD,-1.4494726497661037,0.31806368733998536,0.8781682116907552,-2.3903837769551295,-0.1263983181739481,-5.576737862579284,0.0
COG,-8.701554038339566,0.24656589933516695,1.5815221258853818,-4.852687346788176,-0.5026131538940493,-4.587051472618131,0.0
COL,-0.07713773427242554,-2.3285493974526936,-2.3184670812091968,-1.9471676784622916,-0.052442184369527745,-2.0579941638183885,0.0
COM,1.5552583641351925,-0.4637210298422282,-1.5311842641335338,2.7768859614456076,0.17558934190304853,-4.83878995947723,0.0
